profileID,respID,qID,altID,obsID,blockID,tired,walking,sports,concentration,embarrassed,unhappiness,treated
74030,1,1,1,1,1,always,never,almost never,sometimes,often,often,always
13915,1,2,1,2,1,always,sometimes,almost never,almost never,sometimes,always,never
4704,1,3,1,3,1,often,never,often,sometimes,sometimes,almost never,never
58594,1,4,1,4,1,often,often,often,often,often,often,often
72509,1,5,1,5,1,often,almost never,never,never,almost never,often,always
15431,1,6,1,6,1,never,almost never,sometimes,often,always,always,never
40820,1,7,1,7,1,always,often,sometimes,almost never,never,often,sometimes
10362,1,8,1,8,1,almost never,sometimes,always,sometimes,almost never,often,never
49658,1,9,1,9,1,sometimes,almost never,almost never,sometimes,always,never,often
63323,1,10,1,10,1,sometimes,always,sometimes,almost never,almost never,never,always
74030,2,1,1,11,1,always,never,almost never,sometimes,often,often,always
13915,2,2,1,12,1,always,sometimes,almost never,almost never,sometimes,always,never
4704,2,3,1,13,1,often,never,often,sometimes,sometimes,almost never,never
58594,2,4,1,14,1,often,often,often,often,often,often,often
72509,2,5,1,15,1,often,almost never,never,never,almost never,often,always
15431,2,6,1,16,1,never,almost never,sometimes,often,always,always,never
40820,2,7,1,17,1,always,often,sometimes,almost never,never,often,sometimes
10362,2,8,1,18,1,almost never,sometimes,always,sometimes,almost never,often,never
49658,2,9,1,19,1,sometimes,almost never,almost never,sometimes,always,never,often
63323,2,10,1,20,1,sometimes,always,sometimes,almost never,almost never,never,always
74030,3,1,1,21,1,always,never,almost never,sometimes,often,often,always
13915,3,2,1,22,1,always,sometimes,almost never,almost never,sometimes,always,never
4704,3,3,1,23,1,often,never,often,sometimes,sometimes,almost never,never
58594,3,4,1,24,1,often,often,often,often,often,often,often
72509,3,5,1,25,1,often,almost never,never,never,almost never,often,always
15431,3,6,1,26,1,never,almost never,sometimes,often,always,always,never
40820,3,7,1,27,1,always,often,sometimes,almost never,never,often,sometimes
10362,3,8,1,28,1,almost never,sometimes,always,sometimes,almost never,often,never
49658,3,9,1,29,1,sometimes,almost never,almost never,sometimes,always,never,often
63323,3,10,1,30,1,sometimes,always,sometimes,almost never,almost never,never,always
74030,4,1,1,31,1,always,never,almost never,sometimes,often,often,always
13915,4,2,1,32,1,always,sometimes,almost never,almost never,sometimes,always,never
4704,4,3,1,33,1,often,never,often,sometimes,sometimes,almost never,never
58594,4,4,1,34,1,often,often,often,often,often,often,often
72509,4,5,1,35,1,often,almost never,never,never,almost never,often,always
15431,4,6,1,36,1,never,almost never,sometimes,often,always,always,never
40820,4,7,1,37,1,always,often,sometimes,almost never,never,often,sometimes
10362,4,8,1,38,1,almost never,sometimes,always,sometimes,almost never,often,never
49658,4,9,1,39,1,sometimes,almost never,almost never,sometimes,always,never,often
63323,4,10,1,40,1,sometimes,always,sometimes,almost never,almost never,never,always
74030,5,1,1,41,1,always,never,almost never,sometimes,often,often,always
